country_id,country_name,iso3,region,created_at,updated_at
137,Micronesia (Federated States of),FSM,Oceania,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
138,Monaco,MCO,Europe,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
139,Mongolia,MNG,Asia,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
140,Montenegro,MNE,Europe,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
141,Montserrat,MSR,North America,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
142,Morocco,MAR,Africa,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
143,Mozambique,MOZ,Africa,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
144,Myanmar,MMR,Asia,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
145,Namibia,NAM,Africa,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
146,Nauru,NRU,Oceania,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
147,Nepal,NPL,Asia,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
148,Netherlands (Kingdom of the),NLD,Europe,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
149,Netherlands Antilles (former),NLD,North America,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
150,New Caledonia,NCL,Oceania,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
151,New Zealand,NZL,Oceania,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
152,Nicaragua,NIC,North America,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
153,Niger,NER,Africa,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
154,Nigeria,NGA,Africa,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
155,Niue,NIU,Oceania,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
156,North Macedonia,MKD,Europe,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
157,Northern Mariana Islands,MNP,Oceania,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
158,Norway,NOR,Europe,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
159,Oman,OMN,Asia,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
160,Pacific Islands Trust Territory,,Oceania,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
161,Pakistan,PAK,Asia,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
162,Palau,PLW,Oceania,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
163,Palestine,PSE,Asia,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
164,Panama,PAN,North America,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
165,Papua New Guinea,PNG,Oceania,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
166,San Marino,SMR,Europe,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
167,Paraguay,PRY,South America,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
168,Peru,PER,South America,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
169,Philippines,PHL,Asia,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
170,Poland,POL,Europe,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
171,Portugal,PRT,Europe,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
172,Puerto Rico,PRI,North America,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
173,Qatar,QAT,Asia,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
174,Republic of Korea,KOR,Asia,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
175,Republic of Moldova,MDA,Europe,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
176,Romania,ROU,Europe,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
177,Russian Federation,RUS,Europe,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
178,Rwanda,RWA,Africa,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
179,"Saint Helena, Ascension and Tristan da Cunha",SHN,Africa,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
180,Saint Kitts and Nevis,KNA,North America,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
181,Saint Lucia,LCA,North America,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
182,Saint Pierre and Miquelon,SPM,North America,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
183,Saint Vincent and the Grenadines,VCT,North America,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
184,Samoa,WSM,Oceania,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
185,Sao Tome and Principe,STP,Africa,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
186,Saudi Arabia,SAU,Asia,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
187,Senegal,SEN,Africa,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
188,Serbia,SRB,Europe,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
189,Serbia and Montenegro,SRB,Europe,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
190,Seychelles,SYC,Africa,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
191,Sierra Leone,SLE,Africa,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
192,Singapore,SGP,Asia,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
193,Slovakia,SVK,Europe,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
194,Slovenia,SVN,Europe,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
195,Solomon Islands,SLB,Oceania,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
196,Somalia,SOM,Africa,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
197,South Africa,ZAF,Africa,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
198,South Sudan,SSD,Africa,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
199,Spain,ESP,Europe,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
200,Sri Lanka,LKA,Asia,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
201,Sudan,SDN,Africa,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
202,Sudan (former),SDN,Africa,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
203,Suriname,SUR,South America,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
204,Sweden,SWE,Europe,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
205,Switzerland,CHE,Europe,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
206,Syrian Arab Republic,SYR,Asia,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
207,Tajikistan,TJK,Asia,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
208,Thailand,THA,Asia,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
209,Timor-Leste,TLS,Asia,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
210,Togo,TGO,Africa,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
