fact_id,country_id,year,rural_population,urban_population,population_male,population_female,created_at,updated_at
106,4,2002,6816.0,51915.0,29570.0,28608.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
107,4,2003,6919.0,52198.0,29419.0,28521.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
108,4,2004,6994.0,52270.0,29233.0,28392.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
109,4,2005,7035.0,52083.0,29024.0,28230.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
110,4,2006,7038.0,51612.0,28793.0,28044.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
111,4,2007,7006.0,50897.0,28541.0,27842.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
112,4,2008,6958.0,50072.0,28265.0,27626.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
113,4,2009,6918.0,49309.0,27960.0,27406.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
114,4,2010,6902.0,48735.0,27660.0,27189.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
115,4,2011,6914.0,48406.0,27358.0,26951.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
116,4,2012,6948.0,48282.0,27014.0,26678.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
117,5,2010,110025.0,49556.0,17117100.868772127,16875137.391307376,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
118,4,2013,6997.0,48310.0,26627.0,26369.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
119,4,2014,7047.0,48390.0,26199.0,26017.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
120,4,2015,7088.0,48449.0,25739.0,25629.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
121,4,2016,7118.0,48481.0,25240.0,25208.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
122,4,2017,7139.0,48502.0,24701.0,24762.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
123,4,2018,7153.0,48526.0,24134.0,24290.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
124,4,2019,7162.0,48565.0,23535.0,23786.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
125,4,2020,7169.0,48630.0,22921.0,23268.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
126,6,1990,2882.0,51627.0,28390.0,25179.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
127,6,1991,3100.0,53571.0,29350.0,26084.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
128,6,1992,3343.0,55545.0,30270.0,27014.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
129,6,1993,3591.0,57380.0,31212.0,27944.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
130,6,1994,3830.0,58847.0,32163.0,28875.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
131,6,1995,4047.0,59803.0,33121.0,29806.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
132,6,1996,4232.0,60128.0,33694.0,30454.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
133,6,1997,4387.0,59940.0,33867.0,30814.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
134,6,1998,4537.0,59605.0,34027.0,31159.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
135,6,1999,4721.0,59649.0,34163.0,31492.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
136,6,2000,4973.0,60417.0,34285.0,31812.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
137,6,2001,5349.0,61992.0,35151.0,32669.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
138,6,2002,5855.0,64194.0,36773.0,34076.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
139,6,2003,6435.0,66747.0,38429.0,35478.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
140,6,2004,7052.0,69192.0,40082.0,36852.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
141,6,2005,7662.0,71205.0,41679.0,38147.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
142,6,2006,8256.0,72735.0,41829.0,38392.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
143,6,2007,8840.0,73843.0,40535.0,37633.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
144,6,2008,9221.0,74640.0,39191.0,36864.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
145,6,2009,9365.0,75097.0,37787.0,36065.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
146,6,2010,9442.0,75007.0,36307.0,35212.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
147,6,2011,9442.0,74309.0,35672.0,34895.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
148,6,2012,9371.0,73060.0,35885.0,35127.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
149,6,2013,9261.0,71527.0,36043.0,35324.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
150,6,2014,9157.0,70066.0,36148.0,35473.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
151,6,2015,9093.0,68921.0,36188.0,35557.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
152,6,2016,9082.0,68199.0,36628.0,35913.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
153,6,2017,9120.0,67845.0,37380.0,36456.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
154,6,2018,9187.0,67766.0,38071.0,36943.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
155,6,2019,9261.0,67811.0,38842.0,37502.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
156,6,2020,9327.0,67857.0,39615.0,38084.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
157,7,1990,7650444.0,4520997.0,5837431.0,5991207.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
158,7,1991,7710281.0,4843165.0,6029631.0,6199060.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
159,7,1992,7776001.0,5192344.0,6224203.0,6408303.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
160,7,1993,7839762.0,5563972.0,6416502.0,6621767.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
161,7,1994,7889542.0,5951759.0,6616409.0,6845622.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
162,7,1995,7966516.0,6302478.0,6834872.0,7077381.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
163,7,1996,8024426.0,6657858.0,7068150.0,7315200.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
164,7,1997,8068783.0,7020198.0,7309709.0,7561436.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
165,7,1998,8107209.0,7397109.0,7553740.0,7813123.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
166,7,1999,8150772.0,7798994.0,7799340.0,8071413.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
167,7,2000,8206100.0,8234824.000000001,8054751.0,8339311.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
168,7,2001,8275248.0,8708018.0,8322504.000000001,8619083.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
169,7,2002,8353851.000000001,9218798.0,8603948.0,8912191.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
170,7,2003,8438128.0,9765241.0,8904704.0,9219638.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
171,7,2004,8522221.0,10343495.0,9226105.0,9545020.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
172,7,2005,8603118.0,10949424.0,9564193.0,9886765.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
173,7,2006,8760700.0,11501699.0,9917959.0,10244381.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
174,7,2007,8918911.0,12078776.0,10289510.0,10620174.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
175,7,2008,9077515.0,12681905.0,10678522.0,11013001.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
176,7,2009,9237545.0,13312002.0,11084704.0,11422969.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
177,7,2010,9398277.0,13970854.0,11510656.0,11853530.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
178,7,2011,9559614.0,14658951.0,11955662.0,12303450.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
179,7,2012,9720169.0,15375981.0,12417550.0,12770743.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
180,7,2013,9878943.0,16119397.0,12894065.0,13252938.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
181,7,2014,10033109.0,16887357.0,13381965.0,13746371.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
182,7,2015,10183560.0,17675745.0,13878923.0,14248799.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
183,7,2016,10329860.0,18483603.0,14390171.0,14764575.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
184,7,2017,10472554.0,19311639.0,14915293.0,15293335.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
185,7,2018,10612667.0,20161538.0,15445494.0,15828040.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
186,7,2019,10751626.0,21035940.0,15983035.0,16370553.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
187,7,2020,10890448.0,21936953.0,16517497.0,16910989.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
188,8,1990,0.0,8334.0,4120.0,4196.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
189,8,1991,0.0,8666.0,4279.0,4338.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
190,8,1992,0.0,8981.0,4412.0,4474.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
191,8,1993,0.0,9266.0,4523.0,4598.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
192,8,1994,0.0,9537.0,4636.0,4720.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
193,8,1995,0.0,9802.0,4753.0,4848.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
194,8,1996,0.0,10058.0,4878.0,4984.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
